admission_number,fee_type,amount,frequency,academic_year
STU20240482,Tuition Fee,5000,MONTHLY,2024-25
STU20240483,Tuition Fee,5000,MONTHLY,2024-25
STU20240484,Tuition Fee,5000,MONTHLY,2024-25
STU20240485,Tuition Fee,5000,MONTHLY,2024-25
STU20240486,Tuition Fee,5000,MONTHLY,2024-25
STU20240487,Tuition Fee,5000,MONTHLY,2024-25
STU20240488,Tuition Fee,5000,MONTHLY,2024-25
STU20240489,Tuition Fee,5000,MONTHLY,2024-25
STU20240490,Tuition Fee,5000,MONTHLY,2024-25
STU20240491,Tuition Fee,5000,MONTHLY,2024-25
STU20240492,Tuition Fee,5000,MONTHLY,2024-25
STU20240493,Tuition Fee,5000,MONTHLY,2024-25
STU20240494,Tuition Fee,5000,MONTHLY,2024-25
STU20240495,Tuition Fee,5000,MONTHLY,2024-25
STU20240496,Tuition Fee,5000,MONTHLY,2024-25
STU20240497,Tuition Fee,5000,MONTHLY,2024-25
STU20240498,Tuition Fee,5000,MONTHLY,2024-25
STU20240499,Tuition Fee,5000,MONTHLY,2024-25
STU20240500,Tuition Fee,5000,MONTHLY,2024-25
